Name,URL
RNZ,https://www.rnz.co.nz 
Newsroom,https://www.newsroom.co.nz
1News,https://www.1news.co.nz
Stuff NZ,https://www.stuff.co.nz
NZ Herald,https://www.nzherald.co.nz
Newshub,https://www.newshub.co.nz
